index,road,id,model_type,condition,name,lat,lon,length,bridge_name,in,out
2187,N2,1002187,bridge,C,,24.0462497,91.1772216,196.0,RAZABAZAR BOX CULVERT,,
2188,N2,1002188,bridge,C,,24.0444605850241,91.1772486309178,26.2,RAZA BARIA RCC GIDER BRIDGE,,
2190,N2,1002190,link,,,24.0428052,91.1803327,804.0,,,
2193,N2,1002193,bridge,A,,24.0428052,91.1899441,802.0,BOE SHASY BOX CULVERT,,
2194,N2,1002194,link,,,24.042833,91.1919997,198.0,,,
2195,N2,1002195,bridge,A,,24.0430552,91.1997774,796.0,DABISOR BOX CULVERT,,
2196,N2,1002196,link,,,24.0431108,91.2016944,194.0,,,
2197,N2,1002197,bridge,A,,24.0429997,91.2045,295.0,KATAKHALI BRIDGE,,
2198,N2,1002198,bridge,C,,24.0429702404358,91.2045500397094,64.1,RAMPUR P C GIRDER BRIDGE,,
2200,N2,1002200,link,,,24.0406108,91.2084722,705.0,,,
2202,N2,1002202,bridge,A,,24.0419719,91.2138333,372.0,KHALISHIMA BRIDGE,,
2203,N2,1002203,bridge,C,,24.0419719,91.2138333,372.0,Khilsima Bridge,,
2204,N2,1002204,bridge,A,,24.042083,91.2141667,37.0,CHANDURA BOX CULVERT,,
2206,N2,1002206,link,,,24.0443608,91.2213882,1596.0,,,
2209,N2,1002209,bridge,A,,24.0472219,91.2358608,689.0,BUDUNTI P C GIRDER BRIDGE,,
2210,N2,1002210,link,,,24.0487497,91.2382497,311.0,,,
2211,N2,1002211,bridge,A,,24.0529167,91.2412497,551.0,BULUNTI 2 BOX CULVERT,,
2212,N2,1002212,link,,,24.0534444,91.2415274,449.0,,,
2214,N2,1002214,bridge,A,,24.0599722,91.2464163,499.0,BURUNDI (3) BOX CULVERT,,
2215,N2,1002215,link,,,24.0624722,91.2491663,501.0,,,
2217,N2,1002217,bridge,B,,24.0683604,91.2558056,831.0,SHASHI BOX CULVERT,,
2218,N2,1002218,link,,,24.0694438,91.257,169.0,,,
2219,N2,1002219,bridge,A,,24.0715271,91.2593056,332.0,BILPASA CULVERT,,
2220,N2,1002220,bridge,A,,24.072462410775,91.2603098812854,12.3,ISKMPUR BOX CULVERT,,
2221,N2,1002221,link,,,24.074916,91.2629444,673.0,,,
2223,N2,1002223,bridge,A,,24.0803049,91.2687771,699.0,AMTOLI CULVERT,,
2224,N2,1002224,link,,,24.0820827,91.2709438,301.0,,,
2225,N2,1002225,bridge,A,,24.0823604,91.2796938,950.0,ARINAGAR CULVERT,,
2226,N2,1002226,link,,,24.082666,91.2801104,50.0,,,
2227,N2,1002227,bridge,B,,24.0850552,91.2836941,455.0,MADUBPUR BAZAR BRIDGE,,
2228,N2,1002228,bridge,A,,24.0852408324582,91.2840123147971,10.3,KHATABARI CULVERT,,
2229,N2,1002229,link,,,24.0869997,91.2870274,550.0,,,
2231,N2,1002231,bridge,A,,24.094083,91.2896386,701.0,KODHMADAB PUR,,
2232,N2,1002232,link,,,24.0946386,91.289833,299.0,,,
2234,N2,1002234,bridge,C,,24.0995274,91.2936386,438.0,MADABPUR (KACHARI),,
2235,N2,1002235,link,,,24.1032778,91.2972219,562.0,,,
