road,id,condition,bridge_name,betweenness_centrality,closeness_centrality,degreecentrality_centrality
R240,5503,,,0.21156771233127758,0.0013245738475414369,0.00034217279726261765
R240,3679,A,,0.1936462364212613,0.0012072944129430223,0.0006843455945252353
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5776,,,0.05865420815746038,0.0010701353332139615,0.001026518391787853
R250,5786,,,0.1289646872286521,0.0010712120512363747,0.0006843455945252353
R301,6015,,,0.43859084412577015,0.0017533639389583368,0.001026518391787853
R301,6015,,,0.43859084412577015,0.0017533639389583368,0.001026518391787853
R301,3097,,,0.48623023826210876,0.0017376078387071842,0.0005132591958939265
R310,3141,,,0.49214460489405465,0.0017096322053173217,0.001026518391787853
R360,6410,,,0.08836167500727497,0.001558338792184791,0.0005132591958939265
R360,3233,,,0.42047374889411554,0.0016286068626623277,0.0005132591958939265
Z1005,1950,,,0.2611445340471887,0.0011200768359295355,0.0008554319931565441
Z1005,1950,,,0.2611445340471887,0.0011200768359295355,0.0008554319931565441
Z1031,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
Z1031,4531,,,0.05995986905625533,0.0016094727868303546,0.0005132591958939265
Z1034,6956,,,0.4966623416899455,0.001692096851049737,0.001026518391787853
Z1034,7062,,,0.4502717845818092,0.0016886845710567843,0.0005132591958939265
Z1034,1384,,,0.45782497779448433,0.0016878302386410036,0.0005132591958939265
Z1042,1158,,,0.46289808180646624,0.0017944116893104333,0.0005132591958939265
Z1042,5081,,,0.062094994522541885,0.0017047366889084493,0.0005132591958939265
Z1065,1663,,,0.38284056703255265,0.001404911638388964,0.0005132591958939265
Z1065,7716,,,0.3763311452776465,0.0013752559340705363,0.001026518391787853
Z1065,7716,,,0.3763311452776465,0.0013752559340705363,0.001026518391787853
Z1098,2554,,,0.04709056512964098,0.0007116221966711908,0.00034217279726261765
