scenario_id,iteration,prob_A,prob_B,prob_C,prob_D,Average driving time,Worst bridge,Worst bridge delay,Probs
5,6,0.0,0.05,0.1,0.2,676.4792944785277,SONARKALI BRIDGE(R),37.85727038534808,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}"
5,7,0.0,0.05,0.1,0.2,719.5266409266409,MUDDO SONAISORI BRIDGE,37.53058646430766,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}"
5,8,0.0,0.05,0.1,0.2,744.3302397525135,BORO KUMIRA BRIDGE,38.25338578358855,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}"
5,9,0.0,0.05,0.1,0.2,995.8928283642224,Daud Kandi Bridge,139.94330149716038,"{'A': 0, 'B': 0.05, 'C': 0.1, 'D': 0.2}"
6,0,0.0,0.1,0.2,0.4,833.1255886970173,DARIKANDI BRIDGE (R),37.971630296370456,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,1,0.0,0.1,0.2,0.4,1146.1328382838283,Daud Kandi Bridge,140.29509721128025,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,2,0.0,0.1,0.2,0.4,1067.9030154849227,KANCHPUR PC GIRDER BRIDGE,141.26589700187387,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,3,0.0,0.1,0.2,0.4,962.9575320512821,MEGHNA BRIDGE,140.5405037966487,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,4,0.0,0.1,0.2,0.4,788.7748240813136,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,37.57075279363303,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
6,5,0.0,0.1,0.2,0.4,757.4965089216447,Mostapur Bridge,38.164421740178575,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}"
