,prob_A,prob_B,prob_C,prob_D,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
68,0.0,0.1,0.2,0.4,68,1127.2074074074073,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.5221605631843,KANCHPUR PC GIRDER BRIDGE
69,0.0,0.1,0.2,0.4,69,811.2986708365911,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.83480620067485,MOLLIK PARA BRIDGE (R)
70,0.05,0.1,0.2,0.4,70,1009.4943548387097,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.47042102448012,MEGHNA BRIDGE
71,0.05,0.1,0.2,0.4,71,976.2097678142514,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",68.00405873986311,LAMUA BRIDGE
72,0.05,0.1,0.2,0.4,72,1047.60162601626,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",138.4363626396841,KANCHPUR PC GIRDER BRIDGE
73,0.05,0.1,0.2,0.4,73,1431.9490500863558,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",139.9848777485559,DHOOM GHAT PC GIRDER
74,0.05,0.1,0.2,0.4,74,1231.5259197324415,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.3502534097681,Daud Kandi Bridge
75,0.05,0.1,0.2,0.4,75,1189.359634551495,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",138.62581809729394,MEGHNA BRIDGE
76,0.05,0.1,0.2,0.4,76,1076.848410757946,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.67684413425172,Daud Kandi Bridge
77,0.05,0.1,0.2,0.4,77,1112.508210180624,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",137.80465877583637,Daud Kandi Bridge
78,0.05,0.1,0.2,0.4,78,995.2352941176471,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",140.89570580821615,KANCHPUR PC GIRDER BRIDGE
79,0.05,0.1,0.2,0.4,79,848.0141509433962,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",37.799261476956644,BORO KUMIRA BRIDGE
80,0.1,0.2,0.4,0.8,80,1985.0914340712222,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.77906523580162,KANCHPUR PC GIRDER BRIDGE
81,0.1,0.2,0.4,0.8,81,1659.1395139513952,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",142.7085219488956,MEGHNA BRIDGE
82,0.1,0.2,0.4,0.8,82,1710.7856494096277,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.09450638124025,DHOOM GHAT PC GIRDER
83,0.1,0.2,0.4,0.8,83,1599.35,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",139.3295036899636,MEGHNA BRIDGE
84,0.1,0.2,0.4,0.8,84,1154.1537190082645,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",67.74385051801904,MUHURI BRIDGE
85,0.1,0.2,0.4,0.8,85,1428.2005208333333,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.4606398907956,Daud Kandi Bridge
86,0.1,0.2,0.4,0.8,86,1733.0582347588718,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",142.06818741703452,KANCHPUR PC GIRDER BRIDGE
87,0.1,0.2,0.4,0.8,87,1324.392340425532,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",38.033402022295846,Ginlatoly
88,0.1,0.2,0.4,0.8,88,1638.7607913669065,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",138.84937668487458,MEGHNA BRIDGE
89,0.1,0.2,0.4,0.8,89,1687.042572463768,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",140.41253761123497,DHOOM GHAT PC GIRDER
