,0,1
207,91.9993865,21.4240133
208,91.9996055,21.4236614
209,91.9758013,21.4242512
210,91.9959558,21.4240051
211,91.9760048,21.4248871
212,91.9757278,21.4243862
213,91.9755429,21.424767
214,91.9796997,21.4252322
215,91.9792174,21.4250242
216,92.019385,21.4247798
217,91.9743574,21.4272117
218,91.9734499,21.4284996
219,91.9734499,21.4284996
220,91.9771503,21.4288334
221,91.9757296,21.4280072
222,92.0233888,21.4260534
223,92.0085249,21.4267451
224,91.9788522,21.4283216
225,92.0066861,21.4272407
226,92.006301,21.4272597
227,91.9777651,21.4277856
228,91.9771192,21.4288891
229,91.975888,21.4310961
230,91.975888,21.4310961
231,92.0304871,21.4301257
232,91.9734499,21.4284996
233,91.9785039,21.4289393
234,91.9787455,21.4290582
235,91.9782107,21.4294596
236,91.9745741,21.4300106
237,91.9747141,21.4302283
238,91.9747141,21.4302283
239,92.189547,21.4258612
240,92.0317901,21.4293822
241,92.0323902,21.4290393
242,92.0954262,21.4288295
243,92.2738935,21.4335343
244,92.1015438,21.4427534
245,92.1014074,21.4433982
246,92.0995562,21.4494821
247,92.192238,21.4411632
248,92.2706648,21.4376031
249,92.1963266,21.4408877
250,91.975888,21.4310961
251,91.9747141,21.4302283
252,92.0006147,21.4309559
253,92.0027868,21.4290797
254,91.9767787,21.4325439
255,91.9755917,21.4316318
256,92.0000567,21.4321793
257,91.9744555,21.4343494
258,91.9742763,21.4347339
259,91.9740793,21.4348422
260,91.9723132,21.4347562
261,91.9737765,21.435301
262,91.9754604,21.4349718
263,92.0003863,21.4349764
264,91.998681,21.4344113
265,91.9862882,21.4412216
266,91.9818228,21.4422356
267,91.9851092,21.4415224
268,91.9790518,21.4428369
269,91.9738707,21.4438902
270,91.9769839,21.443283
271,91.9889016,21.44049
272,91.9771284,21.4432519
273,91.9735104,21.4439584
274,91.9791197,21.4428222
275,91.9735104,21.4439584
276,91.9860432,21.4412902
277,91.9708384,21.4375055
278,91.9748714,21.4380927
279,91.9748714,21.4380927
280,91.9789974,21.4376236
281,91.9649023,21.4367549
282,91.9658963,21.4374263
283,91.9724845,21.437963
284,91.9859009,21.4384134
285,91.9789343,21.4380121
286,91.9683386,21.4390679
287,91.9681031,21.438924
288,91.9802542,21.4399369
289,91.972277,21.4384066
290,91.9734064,21.4387241
291,91.9679302,21.4391414
292,91.9716354,21.4397817
293,91.9714983,21.4401574
294,91.9704991,21.4427722
295,91.9814724,21.4413546
296,91.9802476,21.440314
297,91.9748714,21.4380927
298,91.9758312,21.4404142
299,91.9745223,21.4389199
300,91.9735978,21.4411845
301,91.9735978,21.4411845
302,91.9729464,21.4407377
303,91.966499,21.4415715
304,91.966499,21.4415715
305,91.9735978,21.4411845
306,91.9770366,21.4400799
307,91.9774666,21.4412685
308,91.9774666,21.4412685
309,91.9829252,21.4407055
310,91.9746019,21.4425259
311,91.9664794,21.4417559
312,91.966499,21.4415715
313,91.985137,21.442305
314,91.9676044,21.4421777
315,91.9774666,21.4412685
316,91.9767796,21.4417143
317,91.9744896,21.4430362
318,91.9726761,21.443683
319,91.9699212,21.4425453
320,91.9684454,21.4419663
321,91.9722758,21.4435428
322,91.9722758,21.4435428
323,91.9894458,21.4453439
324,91.9693713,21.4436994
325,91.9778433,21.4439871
326,91.9735104,21.4439584
327,91.9722758,21.4435428
328,91.979314,21.4436602
329,91.9845127,21.4457293
330,91.9869696,21.4464982
331,91.9690329,21.4434112
332,91.9688255,21.4473487
333,91.9691438,21.4474881
334,91.9691438,21.4474881
335,91.9734724,21.4460462
336,91.9843002,21.4476022
337,91.9691438,21.4474881
338,91.9678522,21.4501056
339,91.9682093,21.4644406
340,91.9929081,21.4808256
341,92.0078105,21.5093086
342,91.9490589,21.510149
343,91.949568,21.5085658
344,92.0103974,21.5124556
345,91.9603498,21.51137
346,91.9657118,21.5104453
347,91.9667327,21.5134681
348,91.9552835,21.5085772
349,91.958857,21.5152525
350,91.9388067,21.511796
351,91.9436776,21.5129503
352,92.1012364,21.4429141
353,92.1633913,21.5150066
354,92.0676411,21.5541714
355,92.0678263,21.5548391
356,92.1742048,21.509962
357,92.1741605,21.5127827
358,92.1435631,21.5746292
359,92.0564121,21.5495584
360,92.0626255,21.554898
361,91.9636438,21.5149055
362,91.9427587,21.5140115
363,91.9446235,21.5127649
364,91.9520247,21.5150864
365,91.9609684,21.5144243
366,91.9265078,21.5134544
367,91.9609746,21.5148125
368,91.9645048,21.5187234
369,91.9650402,21.5175821
370,91.9614022,21.517892
371,91.961466,21.5194159
372,91.9155916,21.5176687
373,91.9494206,21.5142995
374,91.9426529,21.5135182
375,91.9668228,21.5148308
376,91.9658791,21.5161411
377,91.9499949,21.5152492
378,91.9414417,21.5143932
379,91.9404718,21.5147316
380,91.9507338,21.5148515
381,91.9368857,21.5157901
382,91.9381221,21.5154653
383,91.9334347,21.5168607
384,91.9288491,21.5175261
385,91.9498081,21.5167802
386,91.967771,21.5156264
387,91.9674936,21.5172723
388,91.9693892,21.5162237
389,91.9703014,21.5162676
390,91.9439519,21.5175979
391,91.9339021,21.518052
392,91.969776,21.5185189
393,91.969488,21.5174771
394,91.9650485,21.5156998
395,91.9700265,21.5183822
396,91.9714506,21.5182567
397,91.9677576,21.5177394
398,91.9696803,21.5194847
399,91.970226,21.5173969
400,91.9671579,21.5186599
401,91.9666029,21.5185844
402,91.9679306,21.5194497
403,91.9492955,21.5202517
404,91.9577162,21.5194754
405,91.9397389,21.5182515
406,91.9404324,21.5218076
407,91.9663908,21.5193149
408,91.9414386,21.5178345
409,91.944647,21.5209777
410,91.9570134,21.5198114
411,91.9577048,21.5197294
412,91.9422192,21.5215982
413,91.9209376,21.521546
414,91.92364,21.5181932
415,91.9133567,21.5202637
416,91.9121911,21.5197374
417,91.9245446,21.5206957
418,91.9162951,21.5218238
419,91.9696465,21.5202916
420,91.9678467,21.5203485
421,91.9668066,21.5207847
422,91.9659079,21.5212773
423,91.944699,21.5213384
424,91.9679695,21.5209745
425,91.9689677,21.5207458
426,91.9681504,21.5209134
427,91.9677582,21.5210831
428,91.9670784,21.5214552
429,91.9305092,21.5173219
430,91.9353686,21.5226327
431,91.9687936,21.5218054
432,91.9684192,21.5217432
433,91.9679138,21.5218366
434,91.9671893,21.5221174
435,91.967207,21.5222232
436,91.9672619,21.5223912
437,91.969204,21.5223719
438,91.9658752,21.5219836
439,91.9673911,21.5230505
440,91.9674719,21.5231216
441,91.9721147,21.5238251
442,91.9722062,21.5240297
443,91.9712503,21.525654
444,91.965977,21.5240672
445,91.9665109,21.5258979
446,91.9659079,21.5212773
447,91.9665109,21.5258979
448,91.9464593,21.5318084
449,91.898774,21.5235129
450,91.898774,21.5235129
451,91.9413769,21.5263065
452,91.9413716,21.526148
453,91.9414362,21.5270335
454,91.9686346,21.5257291
455,91.9361977,21.5260834
456,91.9735158,21.5262329
457,91.9739291,21.5266492
458,91.9665109,21.5258979
459,91.9599761,21.5265456
460,91.9583373,21.52659
461,91.9665351,21.5259431
462,91.937965,21.5290482
463,91.9394423,21.5314609
464,91.9609052,21.5281258
465,91.9638212,21.5277863
466,91.9635212,21.5285183
467,91.9666975,21.5277295
