road,id,model_type,name,lat,lon,length,condition
N1,1245,link,link,20.9986386,92.2538889,444.408,
N1,1246,bridge,bridge,20.9942497,92.2545278,444.911,A
N1,1247,link,link,20.9940274,92.2546111,444.945,
N1,1248,bridge,bridge,20.9875274,92.2545556,445.687,A
N1,1249,link,link,20.9852774,92.2536389,445.964,
N1,1250,bridge,bridge,20.9778049,92.25075,446.856,B
N1,1251,link,link,20.9775827,92.2506111,446.888,
N1,1252,link,link,20.9769438,92.2502222,446.964,
N1,1253,bridge,bridge,20.9697216,92.2485552,447.825,B
N1,1254,link,link,20.9682771,92.2488052,447.999,
N1,1255,bridge,bridge,20.9673604,92.2491663,448.118,A
N1,1256,link,link,20.9671104,92.2494441,448.16,
N1,1257,bridge,bridge,20.9648611,92.2515278,448.497,A
N1,1258,bridge,bridge,20.9622778,92.2528889,448.82,A
N1,1259,bridge,bridge,20.9620556,92.2530556,448.851,A
N1,1260,link,link,20.9606389,92.2535,449.019,
N1,1261,bridge,bridge,20.9580833,92.2543056,449.321,A
N1,1262,link,link,20.9566667,92.2548056,449.491,
N1,1263,link,link,20.9538889,92.2559722,449.827,
N1,1264,link,link,20.9531667,92.2562778,449.92,
N1,1265,link,link,20.95225,92.2566111,450.04,
N1,1266,link,link,20.9521667,92.2566944,450.056,
N1,1267,bridge,bridge,20.94957125079681,92.25817740896414,450.391,A
N1,1268,bridge,bridge,20.9482774,92.2589167,450.558,A
N1,1269,link,link,20.9481386,92.2593056,450.604,
N1,1270,link,link,20.9459163,92.2603333,450.934,
N1,1271,link,link,20.9445552,92.2603333,451.121,
N1,1272,bridge,bridge,20.9436941,92.2603056,451.22,B
N1,1273,link,link,20.9373886,92.2623333,451.972,
N1,1274,link,link,20.9371108,92.2624722,452.012,
N1,1275,link,link,20.9361663,92.2628611,452.121,
N1,1276,bridge,bridge,20.9361108,92.2628611,452.133,A
N1,1277,bridge,bridge,20.9346663,92.2631667,452.299,C
N1,1278,bridge,bridge,20.934333,92.26325,452.339,C
N1,1279,link,link,20.9330549,92.2635,452.489,
N1,1280,link,link,20.929666,92.2641111,452.877,
N1,1281,link,link,20.9293327,92.2641389,452.914,
N1,1282,link,link,20.9270827,92.2644444,453.17,
N1,1283,link,link,20.9238882,92.2653889,453.551,
N1,1284,link,link,20.9234993,92.2656111,453.602,
N1,1285,link,link,20.9195827,92.268416,454.132,
N1,1286,link,link,20.9194993,92.2684716,454.149,
N1,1287,link,link,20.9189993,92.2686382,454.204,
N1,1288,link,link,20.9187771,92.2687771,454.234,
N1,1289,link,link,20.9176382,92.2692493,454.374,
N1,1290,link,link,20.9157222,92.2704993,454.629,
N1,1291,link,link,20.9154167,92.2706938,454.667,
N1,1292,link,link,20.9136389,92.2718604,454.899,
N1,1293,link,link,20.9132778,92.2721938,454.982,
N1,1294,link,link,20.9123889,92.2729716,455.1,
N1,1295,link,link,20.9122222,92.2729438,455.126,
N1,1296,link,link,20.9088889,92.275166,455.572,
N1,1297,link,link,20.9085556,92.2753604,455.619,
N1,1298,link,link,20.90675,92.2764993,455.857,
N1,1299,link,link,20.9059444,92.2771104,455.98,
N1,1300,link,link,20.9048333,92.277916,456.126,
N1,1301,link,link,20.9047222,92.2779716,456.143,
N1,1302,link,link,20.9033333,92.2789438,456.337,
N1,1303,link,link,20.9027222,92.279416,456.44,
N1,1304,link,link,20.9003333,92.2807216,456.751,
N1,1305,link,link,20.9001111,92.2809716,456.787,
N1,1306,link,link,20.8994441,92.2817216,456.9,
N1,1307,link,link,20.8984719,92.2828604,457.064,
N1,1308,link,link,20.8982219,92.283166,457.111,
N1,1309,link,link,20.8981108,92.2832493,457.126,
N1,1310,link,link,20.8980274,92.283333,457.148,
N1,1311,link,link,20.8977497,92.2836941,457.201,
N1,1312,link,link,20.8969163,92.2854441,457.411,
N1,1313,link,link,20.8967774,92.2857219,457.444,
N1,1314,link,link,20.8965552,92.286083,457.491,
N1,1315,link,link,20.8953608,92.2877219,457.71,
N1,1316,link,link,20.8948052,92.2881941,457.794,
N1,1317,link,link,20.894083,92.2887774,457.897,
N1,1318,link,link,20.8939441,92.2889163,457.921,
N1,1319,link,link,20.8932774,92.2896386,458.026,
N1,1320,link,link,20.8927774,92.2901386,458.105,
N1,1321,link,link,20.8926386,92.2902774,458.126,
N1,1322,link,link,20.8919163,92.2916663,458.297,
N1,1323,link,link,20.8918886,92.2918052,458.317,
N1,1324,link,link,20.891833,92.2923052,458.373,
N1,1325,link,link,20.8889163,92.2982497,459.115,
N1,1326,link,link,20.888833,92.2983886,459.13,
N1,1327,link,link,20.8869441,92.2996386,459.388,
N1,1328,link,link,20.8858608,92.2991941,459.521,
N1,1329,link,link,20.8820271,92.2977774,459.995,
N1,1330,link,link,20.8782216,92.2977774,460.426,
N1,1331,link,link,20.8768604,92.2978886,460.589,
N1,1332,link,link,20.8764993,92.2978886,460.632,
N1,1333,link,link,20.8692771,92.2981386,461.426,
N1,1334,link,link,20.8688604,92.2982219,461.476,
N1,1335,link,link,20.8650278,92.2982497,461.904,
N1,1336,link,link,20.8646667,92.2981941,461.946,
N1,1337,link,link,20.8629722,92.298083,462.124,
N1,1338,sink,sink,20.8629167,92.298083,462.254,
